gene,gene_length,KRutLoading,kRiboLoading,final_mse,final_rms,generations,early_stopped,wall_time
purD,1290,0.13,0.296,2.277929,1.5093,273,True,601.4
uraA,1290,0.13,0.266,2.300082,1.5166,161,True,228.9
sdaC,1290,0.13,0.22200000000000003,2.932291,1.7124,178,True,280.8
ydiS,1290,0.13,0.0,0.736666,0.8583,33,True,50.2
amtB,1287,0.13,0.0,1.818908,1.3487,218,True,399.3
damX,1287,0.13,0.174,3.555602,1.8856,300,False,660.2
dctA,1287,0.13,0.10600000000000001,2.776577,1.6663,217,True,452.5
fixC,1287,0.13,0.0,0.946288,0.9728,135,True,208.1
thrC,1287,0.13,0.27999999999999997,2.260818,1.5036,147,True,272.8
surA,1287,0.13,0.21800000000000003,1.895557,1.3768,239,True,490.2
rsmB,1290,0.13,0.236,2.245559,1.4985,178,True,1686.4
aroA,1284,0.13,0.248,2.559936,1.6000,128,True,238.7
yfjD,1287,0.13,0.092,5.918207,2.4327,205,True,484.3
gltA,1284,0.13,0.298,2.837062,1.6844,197,True,371.3
pepB,1284,0.13,0.312,1.918509,1.3851,237,True,332.8
yeaH,1284,0.13,0.0,1.004208,1.0021,129,True,202.2
ybhC,1284,0.13,0.314,2.546530,1.5958,272,True,591.1
codA,1284,0.13,0.308,2.046195,1.4305,155,True,1299.2
yebS,1284,0.13,0.052000000000000005,2.011736,1.4184,246,True,528.9
csiE,1281,0.13,0.0,1.423002,1.1929,153,True,235.8
gabT,1281,0.13,0.0,1.122823,1.0596,73,True,286.9
hemL,1281,0.13,0.34199999999999997,3.019264,1.7376,211,True,312.9
puuB,1281,0.13,0.0,0.543223,0.7370,40,True,60.2
hflX,1281,0.13,0.04,3.992544,1.9981,165,True,363.3
kbaZ,1281,0.13,0.0,1.193635,1.0925,52,True,204.2
wcaK,1281,0.13,0.0,0.845584,0.9196,53,True,80.9
yjiN,1281,0.13,0.0,2.014107,1.4192,182,True,291.7
yegT,1278,0.13,0.0,0.705740,0.8401,178,True,277.5
waaA,1278,0.13,0.098,2.349067,1.5327,238,True,584.4
yggP,1278,0.13,0.0,0.916641,0.9574,54,True,83.2
yqcE,1278,0.13,0.0,0.852644,0.9234,123,True,195.6
yiaN,1278,0.13,0.0,0.917610,0.9579,253,True,403.9
clpX,1275,0.13,0.188,3.078650,1.7546,156,True,252.8
livM,1278,0.13,0.072,2.549393,1.5967,269,True,1242.4
tyrS,1275,0.13,0.358,2.469453,1.5714,274,True,401.4
hisS,1275,0.13,0.188,2.327473,1.5256,293,True,587.4
sufD,1272,0.13,0.124,2.373395,1.5406,106,True,225.2
ygcN,1272,0.13,0.004,2.328163,1.5258,156,True,181.0
yrhA,1272,0.13,0.0,0.519701,0.7209,39,True,58.0
yhjV,1272,0.13,0.21400000000000002,3.255454,1.8043,146,True,326.0
lhgO,1269,0.13,0.0,0.871304,0.9334,119,True,172.1
efeB,1272,0.13,0.10600000000000001,3.118461,1.7659,193,True,1006.0
folC,1269,0.13,0.21200000000000002,2.041138,1.4287,262,True,446.0
puuE,1266,0.13,0.0,0.850126,0.9220,117,True,182.6
umuC,1269,0.13,0.0,1.963984,1.4014,201,True,334.0
rhlB,1266,0.13,0.22200000000000003,3.745085,1.9352,156,True,424.8
uidC,1266,0.13,0.0,0.793895,0.8910,43,True,61.0
intB,1266,0.13,0.0,3.541375,1.8819,200,True,785.1
tolA,1266,0.13,0.064,5.381977,2.3199,145,True,533.7
ydiN,1266,0.13,0.0,0.987627,0.9938,44,True,172.4
yihN,1266,0.13,0.0,1.603490,1.2663,134,True,182.8
ybiU,1266,0.13,0.344,1.263008,1.1238,174,True,311.5
lysA,1263,0.13,0.308,2.675908,1.6358,153,True,332.6
gatZ,1263,0.13,0.236,1.670332,1.2924,223,True,509.8
wecC,1263,0.13,0.0,5.423048,2.3287,159,True,284.0
ftsA,1263,0.13,0.076,2.599324,1.6122,216,True,896.9
codB,1260,0.13,0.16,1.638357,1.2800,223,True,527.3
envC,1260,0.13,0.036,2.749205,1.6581,226,True,501.8
glpB,1260,0.13,0.0,3.019828,1.7378,165,True,646.5
murA,1260,0.13,0.252,2.374199,1.5408,177,True,378.7
hflK,1260,0.13,0.16599999999999998,2.493840,1.5792,254,True,522.5
rhaA,1260,0.13,0.0,1.429627,1.1957,45,True,176.4
rho,1260,0.13,0.434,2.637265,1.6240,200,True,290.8
waaL,1260,0.13,0.0,4.287552,2.0706,199,True,373.2
clcB,1257,0.13,0.0,2.163681,1.4709,174,True,248.2
ylbE,1259,0.13,0.0,1.448866,1.2037,157,True,615.1
nupG,1257,0.13,0.172,1.590978,1.2613,203,True,401.1
hemA,1257,0.13,0.064,3.397692,1.8433,300,False,607.3
yccE,1257,0.13,0.0,0.734420,0.8570,139,True,206.2
xapB,1257,0.13,0.0,2.557333,1.5992,122,True,478.9
yfeO,1257,0.13,0.0,1.013082,1.0065,97,True,141.1
ydhQ,1257,0.13,0.32599999999999996,2.144760,1.4645,196,True,403.4
amiC,1254,0.13,0.092,8.382636,2.8953,181,True,445.9
avtA,1254,0.13,0.252,2.385393,1.5445,276,True,525.9
glyA,1254,0.13,0.5559999999999999,2.036627,1.4271,207,True,357.2
kch,1254,0.13,0.2,2.173431,1.4743,128,True,213.2
yjeH,1257,0.13,0.066,2.832351,1.6830,189,True,1090.5
lacY,1254,0.13,0.0,1.781310,1.3347,179,True,340.2
pqiA,1254,0.13,0.046,9.388371,3.0640,184,True,319.1
ynfM,1254,0.13,0.0,1.474325,1.2142,223,True,343.7
entS,1251,0.13,0.134,1.467274,1.2113,130,True,284.8
frc,1251,0.13,0.0,0.730654,0.8548,58,True,85.5
nupX,1251,0.13,0.0,0.780630,0.8835,70,True,103.8
icd,1251,0.13,0.512,2.917085,1.7079,148,True,272.3
psuT,1251,0.13,0.0,1.149696,1.0722,138,True,207.0
proA,1254,0.13,0.236,4.064173,2.0160,190,True,841.6
fryC,1248,0.13,0.0,1.063378,1.0312,85,True,123.9
wzxE,1251,0.13,0.028000000000000004,4.801161,2.1912,244,True,546.1
tnaB,1248,0.13,0.0,0.925829,0.9622,240,True,358.7
wzxB,1248,0.13,0.0,6.930232,2.6325,109,True,235.0
mdtA,1248,0.13,0.146,1.662833,1.2895,160,True,768.0
ybdG,1248,0.13,0.0,2.586934,1.6084,242,True,382.7
ftsW,1245,0.13,0.041999999999999996,2.206076,1.4853,149,True,372.1
yidR,1248,0.13,0.262,2.096010,1.4478,282,True,591.6
lolE,1245,0.13,0.076,2.200965,1.4836,182,True,438.7
mtr,1245,0.13,0.086,1.173092,1.0831,219,True,498.8
frsA,1245,0.13,0.256,5.040576,2.2451,192,True,992.9
clsB,1242,0.13,0.0,1.196071,1.0937,41,True,160.5
agp,1242,0.13,0.0,1.024575,1.0122,135,True,208.7
sstT,1245,0.13,0.19,2.490930,1.5783,252,True,424.3
intA,1242,0.13,0.174,2.322561,1.5240,167,True,214.7
yihS,1242,0.13,0.0,0.744026,0.8626,128,True,186.1
yjhR,1241,0.13,0.0,1.536392,1.2395,196,True,321.9
alaC,1239,0.13,0.386,5.515507,2.3485,199,True,259.1
fabF,1242,0.13,0.16,5.634050,2.3736,212,True,866.2
hofQ,1239,0.13,0.0,1.284706,1.1334,181,True,270.5
cca,1239,0.13,0.094,3.968186,1.9920,175,True,328.2
preT,1239,0.13,0.0,1.177863,1.0853,167,True,225.2
yadC,1239,0.13,0.0,2.081459,1.4427,166,True,273.5
ybdR,1239,0.13,0.0,1.302956,1.1415,174,True,278.5
allC,1236,0.13,0.0,1.701861,1.3046,157,True,263.7
aslB,1236,0.13,0.0,2.073163,1.4398,87,True,67.2
intR,1236,0.13,0.01,1.802536,1.3426,120,True,286.7
moeA,1236,0.13,0.32599999999999996,2.826655,1.6813,202,True,353.7
preA,1236,0.13,0.0,0.913161,0.9556,126,True,192.1
mdtM,1233,0.13,0.0,1.459986,1.2083,128,True,173.6
mdfA,1233,0.13,0.12,2.170936,1.4734,189,True,407.3
mntH,1239,0.13,0.072,2.719858,1.6492,275,True,1519.6
nadR,1233,0.13,0.118,2.379829,1.5427,163,True,355.9
ydaM,1233,0.13,0.0,1.565635,1.2513,127,True,200.2
serA,1233,0.13,0.388,1.701272,1.3043,300,False,575.0
yqeG,1230,0.13,0.22000000000000003,2.445009,1.5637,136,True,249.1
ycaQ,1233,0.13,0.008,3.538926,1.8812,176,True,698.7
eutH,1227,0.13,0.0,0.816398,0.9035,71,True,101.8
yadE,1230,0.13,0.098,2.025057,1.4230,300,False,542.8
rtcB,1227,0.13,0.13999999999999999,1.230830,1.1094,214,True,477.7
pepT,1227,0.13,0.23399999999999999,1.317394,1.1478,286,True,521.1
mdtG,1227,0.13,0.0,1.949124,1.3961,181,True,705.8
ydeT,1227,0.13,0.0,1.366035,1.1688,194,True,263.7
yfiN,1227,0.13,0.062,2.107496,1.4517,166,True,323.2
yhfW,1227,0.13,0.0,1.493962,1.2223,49,True,190.8
cusB,1224,0.13,0.0,0.962450,0.9810,119,True,176.7
wcaI,1224,0.13,0.0,0.612730,0.7828,33,True,47.7
glcF,1224,0.13,0.0,2.090946,1.4460,64,True,249.1
deoB,1224,0.13,0.22799999999999998,4.820245,2.1955,153,True,312.9
argD,1221,0.13,0.22599999999999998,2.265716,1.5052,247,True,358.8
astC,1221,0.13,0.0,1.432666,1.1969,95,True,369.9
dfp,1221,0.13,0.13,2.322834,1.5241,188,True,411.9
fabB,1221,0.13,0.352,2.841082,1.6856,155,True,240.8
mlc,1221,0.13,0.0,7.369706,2.7147,84,True,164.2
sbmA,1221,0.13,0.092,2.578319,1.6057,242,True,494.7
nagC,1221,0.13,0.13,3.478928,1.8652,300,False,657.4
fsr,1221,0.13,0.20600000000000002,1.429412,1.1956,144,True,887.7
wcaL,1221,0.13,0.0,1.019183,1.0095,150,True,225.2
sufS,1221,0.13,0.134,1.308256,1.1438,206,True,444.3
ybdN,1221,0.13,0.0,1.649257,1.2842,96,True,373.9
alaA,1218,0.13,0.33399999999999996,1.758424,1.3261,209,True,370.3
caiB,1218,0.13,0.0,1.402414,1.1842,136,True,205.2
wcaC,1218,0.13,0.0,0.653585,0.8084,80,True,117.5
wcaD,1218,0.13,0.0,0.847181,0.9204,140,True,197.9
yjhB,1218,0.13,0.0,0.862535,0.9287,129,True,185.7
yhhS,1218,0.13,0.074,4.059184,2.0147,215,True,328.3
rspA,1215,0.13,0.0,0.562040,0.7497,97,True,138.4
iscS,1215,0.13,0.33199999999999996,2.242372,1.4975,113,True,225.2
ydiM,1215,0.13,0.0,0.854042,0.9241,132,True,194.5
bluF,1212,0.13,0.0,1.726618,1.3140,187,True,283.9
sucB,1218,0.13,0.398,2.475983,1.5735,198,True,1096.4
elaD,1212,0.13,0.0,1.196410,1.0938,65,True,82.7
dacA,1212,0.13,0.308,3.455100,1.8588,128,True,250.3
ydhC,1212,0.13,0.2,4.150687,2.0373,121,True,266.7
ygeY,1212,0.13,0.0,0.846886,0.9203,140,True,204.9
tyrP,1212,0.13,0.158,1.784680,1.3359,300,False,685.7
mhpT,1212,0.13,0.0,1.752402,1.3238,203,True,787.8
flgE,1209,0.13,0.27799999999999997,2.386329,1.5448,227,True,412.2
intZ,1209,0.13,0.066,2.741234,1.6557,123,True,243.2
tdcD,1209,0.13,0.0,0.992324,0.9962,94,True,133.7
yhjX,1209,0.13,0.0,1.468300,1.2117,75,True,106.8
mdtH,1209,0.13,0.0,1.721176,1.3119,115,True,446.9
ybjJ,1209,0.13,0.132,1.393156,1.1803,182,True,387.5
csdA,1206,0.13,0.10800000000000001,3.063149,1.7502,208,True,436.3
rhmD,1206,0.13,0.0,0.791207,0.8895,44,True,62.0
paaJ,1206,0.13,0.0,0.984278,0.9921,226,True,346.7
yedE,1206,0.13,0.27599999999999997,2.305731,1.5185,199,True,381.8
ackA,1203,0.13,0.49400000000000005,2.556128,1.5988,244,True,424.9
dacC,1203,0.13,0.358,2.462404,1.5692,209,True,389.0
hcaD,1203,0.13,0.0,1.082026,1.0402,258,True,376.3
gltS,1206,0.13,0.13999999999999999,1.720420,1.3116,291,True,1373.8
hofC,1203,0.13,0.0,1.745490,1.3212,135,True,213.4
nupC,1203,0.13,0.22000000000000003,1.883948,1.3726,270,True,485.9
proV,1203,0.13,0.11000000000000001,2.829399,1.6821,255,True,506.4
sbcD,1203,0.13,0.154,3.445588,1.8562,160,True,328.9
visC,1203,0.13,0.154,6.054536,2.4606,130,True,224.2
yfaY,1203,0.13,0.292,2.087377,1.4448,198,True,312.5
yhiN,1203,0.13,0.10800000000000001,3.182322,1.7839,190,True,399.6
lolC,1200,0.13,0.08399999999999999,2.005373,1.4161,214,True,402.9
yjgX,1199,0.13,0.0,2.420041,1.5556,247,True,459.9
gspF,1197,0.13,0.0,1.355971,1.1645,95,True,138.6
dxr,1197,0.13,0.142,4.572623,2.1384,230,True,400.8
kbl,1197,0.13,0.27,2.371669,1.5400,275,True,445.0
hemY,1197,0.13,0.13,3.940819,1.9851,276,True,570.0
ygeX,1197,0.13,0.0,0.652442,0.8077,69,True,97.4
yaiP,1197,0.13,0.0,1.294659,1.1378,140,True,209.9
pncB,1203,0.13,0.136,2.319076,1.5229,295,True,2493.3
yjgN,1197,0.13,0.0,1.041507,1.0205,152,True,224.5
acrA,1194,0.13,0.236,2.121209,1.4564,300,False,527.4
trpB,1194,0.13,0.362,1.726022,1.3138,185,True,368.3
lplT,1194,0.13,0.054000000000000006,2.620843,1.6189,170,True,732.4
tyrB,1194,0.13,0.36,2.792397,1.6710,171,True,246.2
yphH,1194,0.13,0.0,1.912733,1.3830,186,True,302.9
yedS,1193,0.13,0.0,1.554824,1.2469,41,True,158.9
aspC,1191,0.13,0.496,3.232170,1.7978,206,True,308.1
bcr,1191,0.13,0.06,3.950998,1.9877,158,True,350.7
glpC,1191,0.13,0.0,3.044681,1.7449,86,True,333.3
hmp,1191,0.13,0.5940000000000001,0.986352,0.9932,231,True,403.2
lldD,1191,0.13,0.38,1.772149,1.3312,183,True,374.4
nepI,1191,0.13,0.16,1.801659,1.3423,135,True,192.4
ydeA,1191,0.13,0.16799999999999998,1.778107,1.3335,166,True,314.1
ygeW,1191,0.13,0.0,1.028985,1.0144,121,True,177.1
rlmI,1191,0.13,0.38,1.622149,1.2736,237,True,589.8
eutG,1188,0.13,0.0,0.721384,0.8493,147,True,205.7
ydeE,1188,0.13,0.0,1.960071,1.4000,163,True,226.4
yhaC,1188,0.13,0.0,0.724679,0.8513,53,True,73.3
malE,1191,0.13,0.48600000000000004,1.163760,1.0788,216,True,1436.2
metC,1188,0.13,0.392,1.492290,1.2216,300,False,602.3
atoB,1185,0.13,0.0,1.545963,1.2434,48,True,185.7
araJ,1185,0.13,0.05600000000000001,2.844099,1.6864,217,True,390.2
emrD,1185,0.13,0.16999999999999998,2.181626,1.4770,187,True,272.0
tufB,1185,0.13,0.0,1.275088,1.1292,173,True,109.2
tufA,1185,0.13,0.0,1.229701,1.1089,180,True,148.3
uxuA,1185,0.13,0.48200000000000004,1.144084,1.0696,156,True,307.8
hemX,1182,0.13,0.156,2.258828,1.5029,184,True,346.7
setB,1182,0.13,0.0,1.145685,1.0704,182,True,289.2
setC,1185,0.13,0.0,1.618351,1.2721,252,True,973.8
tsgA,1182,0.13,0.16399999999999998,1.490248,1.2208,179,True,363.8
yhdX,1182,0.13,0.0,1.536851,1.2397,77,True,108.9
xylH,1182,0.13,0.0,1.176798,1.0848,169,True,254.5
yeaN,1182,0.13,0.0,1.573868,1.2545,77,True,297.5
yqeF,1182,0.13,0.122,3.879297,1.9696,92,True,131.4
bamB,1179,0.13,0.152,2.356136,1.5350,146,True,299.5
purT,1179,0.13,0.446,0.972918,0.9864,163,True,303.8
hybB,1179,0.13,0.048,1.360792,1.1665,136,True,551.7
ubiH,1179,0.13,0.048,2.287834,1.5126,260,True,541.5
setA,1179,0.13,0.046,3.802584,1.9500,268,True,687.3
yhhZ,1179,0.13,0.0,1.013891,1.0069,133,True,181.2
yfcJ,1179,0.13,0.142,1.790677,1.3382,210,True,302.5
xylR,1179,0.13,0.256,1.732852,1.3164,132,True,721.9
yjiJ,1179,0.13,0.0,3.040464,1.7437,184,True,232.8
ygaY,1178,0.13,0.0,1.122266,1.0594,139,True,192.4
manA,1176,0.13,0.45999999999999996,2.263275,1.5044,188,True,342.7
entC,1176,0.13,0.0,2.028806,1.4244,115,True,446.2
mdtL,1176,0.13,0.0,1.577067,1.2558,258,True,414.0
ubiF,1176,0.13,0.26,2.594184,1.6106,218,True,386.6
emrA,1173,0.13,0.16399999999999998,2.053313,1.4329,180,True,282.8
ydcO,1176,0.13,0.0,1.723874,1.3130,162,True,627.5
malY,1173,0.13,0.146,2.287484,1.5124,162,True,299.4
iadA,1173,0.13,0.354,2.187790,1.4791,191,True,369.2
torC,1173,0.13,0.0,0.595503,0.7717,45,True,60.3
prpC,1170,0.13,0.0,0.747101,0.8643,44,True,59.0
ydhP,1170,0.13,0.198,1.583739,1.2585,171,True,283.2
yciM,1170,0.13,0.054000000000000006,2.378427,1.5422,212,True,416.8
yieL,1170,0.13,0.0,0.892113,0.9445,137,True,190.0
dacD,1167,0.13,0.0,2.024212,1.4227,127,True,217.3
nhaA,1167,0.13,0.21200000000000002,2.242761,1.4976,143,True,278.3
sucC,1167,0.13,0.292,1.856958,1.3627,259,True,423.5
ugd,1167,0.13,0.036,3.233910,1.7983,221,True,384.5
wbbH,1167,0.13,0.0,1.737572,1.3182,214,True,325.1
ygbK,1167,0.13,0.0,1.260324,1.1226,213,True,293.1
obgE,1173,0.13,0.24,2.665413,1.6326,246,True,1534.3
emrK,1164,0.13,0.0,0.714932,0.8455,76,True,105.5
ynjB,1167,0.13,0.19,1.584809,1.2589,112,True,225.2
gspL,1164,0.13,0.0,1.104603,1.0510,187,True,285.0
pgk,1164,0.13,0.524,3.951671,1.9879,173,True,239.9
fadA,1164,0.13,0.0,2.271832,1.5073,179,True,695.0
intD,1164,0.13,0.016,1.831761,1.3534,249,True,558.4
yhfX,1164,0.13,0.0,0.858198,0.9264,83,True,110.6
metB,1161,0.13,0.052000000000000005,1.869050,1.3671,165,True,360.6
yqhD,1164,0.13,0.48,1.412328,1.1884,208,True,402.1
yjfC,1164,0.13,0.0,1.743259,1.3203,138,True,535.8
pheA,1161,0.13,0.40599999999999997,2.203864,1.4845,184,True,191.8
acrE,1158,0.13,0.0,0.665150,0.8156,42,True,56.7
ybdL,1161,0.13,0.22999999999999998,1.218676,1.1039,163,True,313.1
cdaR,1158,0.13,0.0,2.420681,1.5559,159,True,211.1
intQ,1158,0.13,0.0,1.042503,1.0210,101,True,131.3
ampH,1158,0.13,0.246,2.501128,1.5815,201,True,430.1
mdtE,1158,0.13,0.0,1.038293,1.0190,102,True,141.9
intS,1158,0.13,0.188,2.986800,1.7282,165,True,268.1
ydeM,1158,0.13,0.0,0.514774,0.7175,35,True,46.4
ygiC,1161,0.13,0.134,2.130377,1.4596,187,True,982.2
yehY,1158,0.13,0.0,0.771913,0.8786,127,True,174.0
opgC,1158,0.13,0.178,1.673445,1.2936,206,True,358.8
agaS,1155,0.13,0.0,0.690930,0.8312,133,True,176.5
cynX,1155,0.13,0.0,1.169026,1.0812,149,True,211.2
bioF,1155,0.13,0.08,1.890972,1.3751,238,True,500.0
yeiB,1158,0.13,0.018,3.372963,1.8366,132,True,607.2
metK,1155,0.13,0.396,4.205720,2.0508,159,True,397.1
rlmN,1155,0.13,0.272,2.359641,1.5361,207,True,273.5
yagA,1155,0.13,0.0,1.329234,1.1529,72,True,279.2
argE,1152,0.13,0.286,3.542519,1.8822,168,True,332.9
yiaY,1152,0.13,0.0,0.766929,0.8757,111,True,140.4
ftsZ,1152,0.13,0.262,2.262344,1.5041,251,True,486.0
yjiM,1152,0.13,0.0,1.204201,1.0974,92,True,120.3
ydiO,1152,0.13,0.0,1.190806,1.0912,134,True,518.9
carA,1149,0.13,0.21200000000000002,1.766883,1.3292,157,True,311.4
cfa,1149,0.13,0.24,3.981720,1.9954,165,True,262.6
flhB,1149,0.13,0.0,2.064942,1.4370,214,True,258.1
dgoD,1149,0.13,0.0,1.803319,1.3429,135,True,521.3
fucO,1149,0.13,0.0,1.102136,1.0498,185,True,264.5
lpxB,1149,0.13,0.034,4.054392,2.0136,142,True,313.8
galK,1149,0.13,0.122,9.463397,3.0763,128,True,420.0
mtlD,1149,0.13,0.202,1.634870,1.2786,245,True,580.8
rutA,1149,0.13,0.0,0.546876,0.7395,61,True,81.6
nagA,1149,0.13,0.128,1.811332,1.3459,228,True,664.0
insQ,1149,0.13,0.022,3.363624,1.8340,272,True,1081.8
ycaD,1149,0.13,0.086,2.848394,1.6877,130,True,230.0
ssuD,1146,0.13,0.0,0.680195,0.8247,79,True,105.7
garK,1146,0.13,0.0,1.392905,1.1802,225,True,349.7
yfdE,1146,0.13,0.0,0.757816,0.8705,45,True,60.5
ydcS,1146,0.13,0.0,1.168629,1.0810,129,True,153.7
glxK,1146,0.13,0.0,3.006329,1.7339,108,True,417.1
arnB,1140,0.13,0.16399999999999998,1.671072,1.2927,151,True,271.4
caiA,1143,0.13,0.076,2.824759,1.6807,169,True,387.7
gfcE,1140,0.13,0.0,1.110795,1.0539,178,True,248.2
cydB,1140,0.13,0.148,3.901608,1.9752,160,True,692.0
hcaT,1140,0.13,0.08199999999999999,3.079699,1.7549,300,False,595.6
wza,1140,0.13,0.0,0.540527,0.7352,54,True,71.2
appB,1137,0.13,0.0,1.169483,1.0814,120,True,164.2
nlpD,1140,0.13,0.096,3.345756,1.8291,249,True,714.1
queG,1140,0.13,0.0,3.254791,1.8041,165,True,634.7
phnM,1137,0.13,0.0,0.698836,0.8360,129,True,170.8
pdxB,1137,0.13,0.202,2.699404,1.6430,252,True,504.8
rlmG,1137,0.13,0.3,1.871816,1.3681,201,True,339.3
ybfL,1137,0.13,0.0,0.373055,0.6108,37,True,48.7
ydcC,1137,0.13,0.0,0.367402,0.6061,30,True,38.9
yehP,1137,0.13,0.0,0.815652,0.9031,70,True,96.2
ygeQ,1137,0.13,0.0,1.905857,1.3805,140,True,129.2
yhhI,1137,0.13,0.0,0.375519,0.6128,38,True,49.3
yggW,1137,0.13,0.076,3.109994,1.7635,146,True,326.6
yiaV,1137,0.13,0.0,0.961695,0.9807,195,True,272.0
yibH,1137,0.13,0.0,2.198770,1.4828,144,True,215.7
aaaE,1134,0.13,0.0,0.728007,0.8532,117,True,161.6
potA,1137,0.13,0.194,3.142264,1.7726,221,True,1117.1
fepE,1134,0.13,0.0,0.755088,0.8690,110,True,140.8
ompN,1134,0.13,0.0,0.668005,0.8173,58,True,75.3
ampC,1134,0.13,0.394,1.831516,1.3533,218,True,363.3
potG,1134,0.13,0.11200000000000002,2.959184,1.7202,120,True,214.3
norW,1134,0.13,0.0,1.798909,1.3412,109,True,420.2
thiH,1134,0.13,0.0,1.484850,1.2185,176,True,253.3
fruB,1131,0.13,0.268,1.580527,1.2572,191,True,284.0
ybhS,1134,0.13,0.064,1.652998,1.2857,300,False,586.9
nrdB,1131,0.13,0.23399999999999999,3.033707,1.7418,219,True,314.0
dnaJ,1131,0.13,0.21000000000000002,7.589778,2.7550,155,True,781.9
wecB,1131,0.13,0.0,2.364872,1.5378,300,False,490.0
wecE,1131,0.13,0.0,2.817835,1.6786,223,True,327.5
efeO,1128,0.13,0.442,3.917516,1.9793,154,True,234.0
fliK,1128,0.13,0.0,2.529417,1.5904,154,True,245.0
intE,1128,0.13,0.0,1.164205,1.0790,52,True,69.9
rlmC,1128,0.13,0.0,2.897498,1.7022,177,True,266.2
rnd,1128,0.13,0.22799999999999998,3.253849,1.8038,181,True,285.3
yciW,1128,0.13,0.018,3.150647,1.7750,145,True,200.1
yhcG,1128,0.13,0.0,2.188506,1.4794,193,True,255.1
tgt,1128,0.13,0.24,2.027780,1.4240,240,True,505.2
fes,1125,0.13,0.0,1.033912,1.0168,191,True,255.1
yhcM,1128,0.13,0.172,2.865923,1.6929,125,True,275.8
dapE,1128,0.13,0.22000000000000003,1.828034,1.3520,295,True,1558.5
yeaW,1125,0.13,0.0,1.448549,1.2036,51,True,196.0
waaG,1125,0.13,0.0,2.067905,1.4380,243,True,389.0
smf,1125,0.13,0.01,1.816839,1.3479,151,True,455.2
gmd,1122,0.13,0.0,0.542247,0.7364,54,True,69.3
sgcX,1122,0.13,0.0,0.934343,0.9666,144,True,186.0
yhhJ,1125,0.13,0.09,3.706780,1.9253,154,True,644.5
hypD,1122,0.13,0.156,1.090568,1.0443,228,True,440.9
hyaA,1119,0.13,0.0,0.753059,0.8678,97,True,126.5
tyrA,1122,0.13,0.16599999999999998,1.764515,1.3284,214,True,409.0
hybO,1119,0.13,0.16799999999999998,1.447166,1.2030,190,True,224.1
ispG,1119,0.13,0.13,2.350033,1.5330,211,True,395.4
solA,1119,0.13,0.364,1.634269,1.2784,285,True,485.9
wbbK,1119,0.13,0.094,2.133348,1.4606,189,True,361.4
ybdK,1119,0.13,0.0,0.953651,0.9766,119,True,157.8
ybiR,1119,0.13,0.05600000000000001,2.171054,1.4734,121,True,204.7
yjhC,1119,0.13,0.306,1.188263,1.0901,119,True,241.4
ycfD,1122,0.13,0.32999999999999996,3.302613,1.8173,282,True,1333.8
malK,1116,0.13,0.0,1.061438,1.0303,166,True,217.0
macA,1116,0.13,0.202,1.521978,1.2337,183,True,342.9
yaiC,1116,0.13,0.0,7.148623,2.6737,50,True,191.8
yneK,1116,0.13,0.0,1.681118,1.2966,120,True,160.7
yliI,1116,0.13,0.0,1.082540,1.0405,159,True,225.5
potF,1113,0.13,0.282,2.313361,1.5210,153,True,233.6
ydiK,1113,0.13,0.21400000000000002,2.277212,1.5090,170,True,326.7
anmK,1110,0.13,0.192,2.338264,1.5291,139,True,262.6
mrdB,1113,0.13,0.06999999999999999,3.294917,1.8152,175,True,717.0
frmA,1110,0.13,0.44400000000000006,2.323161,1.5242,154,True,270.8
livK,1110,0.13,0.3,3.099207,1.7605,166,True,229.2
ycbX,1110,0.13,0.352,2.304069,1.5179,204,True,356.2
ykfC,1108,0.13,0.0,1.759907,1.3266,209,True,297.1
bcsZ,1107,0.13,0.078,1.409551,1.1872,146,True,274.0
mnmA,1107,0.13,0.184,2.567651,1.6024,156,True,306.1
nanM,1107,0.13,0.0,1.178904,1.0858,255,True,335.6
ybhR,1107,0.13,0.0,1.720905,1.3118,213,True,299.5
gldA,1104,0.13,0.0,1.471519,1.2131,108,True,148.1
asd,1104,0.13,0.414,30.467926,5.5198,117,True,181.0
glf,1104,0.13,0.256,2.836833,1.6843,121,True,205.7
livJ,1104,0.13,0.418,2.454328,1.5666,184,True,283.5
ompC,1104,0.13,0.512,1.246993,1.1167,187,True,255.8
mrp,1110,0.13,0.376,1.654498,1.2863,300,False,1870.6
mreC,1104,0.13,0.05,2.460592,1.5686,300,False,535.0
wecA,1104,0.13,0.0,2.893681,1.7011,115,True,176.5
proB,1104,0.13,0.188,4.716700,2.1718,241,True,437.3
yhdY,1104,0.13,0.0,0.769562,0.8772,132,True,172.3
dnaN,1101,0.13,0.13999999999999999,2.544016,1.5950,119,True,211.3
chaA,1101,0.13,0.146,1.528461,1.2363,212,True,392.4
lptF,1101,0.13,0.096,2.446249,1.5640,160,True,297.5
rlmM,1101,0.13,0.238,7.604247,2.7576,107,True,252.6
torY,1101,0.13,0.0,0.714427,0.8452,93,True,115.8
yghO,1101,0.13,0.0,0.810499,0.9003,162,True,213.1
ribD,1104,0.13,0.086,3.658328,1.9127,266,True,1459.6
trmA,1101,0.13,0.20400000000000001,2.621129,1.6190,242,True,510.2
flgI,1098,0.13,0.0,3.163998,1.7788,124,True,228.1
prfB,1099,0.13,0.296,3.944287,1.9860,267,True,517.5
cysA,1098,0.13,0.0,1.534965,1.2389,116,True,445.1
